,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01
dirty_right_01,@@,@@,@@,window_02,@@,door_02_close,@@,@@,,,@@,@@,@@,window_02,@@,door_02_close,@@,@@,,,@@,@@,@@,window_02,@@,door_02_close,@@,@@,,,@@,@@,@@,window_02,@@,door_02_close,@@,@@,dirty_left_01
dirty_right_01,window_02,house_shink,house_stove,house_cupboard_01,house_cupboard,,house_fridge,@@,,,window_02,house_shink,house_stove,house_cupboard_01,house_cupboard,,house_fridge,@@,,,window_02,house_shink,house_stove,house_cupboard_01,house_cupboard,,house_fridge,@@,,,window_02,house_shink,house_stove,house_cupboard_01,house_cupboard,,house_fridge,@@,dirty_left_01
dirty_right_01,@@,,,,,,,@@,,,@@,,,,,,,@@,,,@@,,,,,,,@@,,,@@,,,,,,,@@,dirty_left_01
dirty_right_01,@@,@@,@@,@@,,@@,door_02_close,@@,,,@@,@@,@@,@@,,@@,door_02_close,@@,,,@@,@@,@@,@@,,@@,door_02_close,@@,,,@@,@@,@@,@@,,@@,door_02_close,@@,dirty_left_01
dirty_right_01,@@,house_wardrobe,,,,@@,,window_02,,,@@,house_wardrobe,,,,@@,,window_02,,,@@,house_wardrobe,military_crate,,,@@,,window_02,,,@@,house_wardrobe,military_crate,,,@@,,window_02,dirty_left_01
dirty_right_01,window_02,house_bed_right,,,,@@,house_toilet_right,@@,,,window_02,house_bed_right,,,,@@,crate,@@,,,window_02,house_bed_right,,,,@@,house_toilet_right,@@,,,window_02,house_bed_right,,,,@@,house_toilet_right,@@,dirty_left_01
dirty_right_01,@@,@@,window_02,door_02_close,@@,@@,@@,@@,,,@@,@@,window_02,door_02_close,@@,@@,@@,@@,,,@@,@@,window_02,door_02_close,@@,@@,@@,@@,,,@@,@@,window_02,door_02_close,@@,@@,@@,@@,dirty_left_01
dirty_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_left_01
dirty_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_left_01
dirty_right_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_01,dirty_left_01
dirty_right_01,@@,@@,@@,window_02,@@,door_02_close,@@,@@,,,@@,@@,@@,window_02,@@,door_02_close,@@,@@,,,@@,@@,@@,window_02,@@,door_02_close,@@,@@,,,@@,@@,@@,window_02,@@,door_02_close,@@,@@,dirty_left_01
dirty_right_01,window_02,house_shink,house_stove,house_cupboard_01,house_cupboard,,house_fridge,@@,,,window_02,house_shink,house_stove,house_cupboard_01,house_cupboard,,house_fridge,@@,,,window_02,house_shink,house_stove,house_cupboard_01,house_cupboard,,house_fridge,@@,,,window_02,house_shink,house_stove,house_cupboard_01,house_cupboard,,house_fridge,@@,dirty_left_01
dirty_right_01,@@,,,,,,,@@,,,@@,,,,,,,@@,,,@@,,,,,,,@@,,,@@,,,,,,,@@,dirty_left_01
dirty_right_01,@@,@@,@@,@@,,@@,door_02_close,@@,,,@@,@@,@@,@@,,@@,door_02_close,@@,,,@@,@@,@@,@@,,@@,door_02_close,@@,,,@@,@@,@@,@@,,@@,door_02_close,@@,dirty_left_01
dirty_right_01,@@,house_wardrobe,,,,@@,,window_02,,,@@,house_wardrobe,,,,@@,,window_02,,,@@,house_wardrobe,military_crate,,,@@,,window_02,,,@@,house_wardrobe,crate,,,@@,,window_02,dirty_left_01
dirty_right_01,window_02,house_bed_right,,,,@@,house_toilet_right,@@,,,window_02,house_bed_right,,,,@@,crate,@@,,,window_02,house_bed_right,,,,@@,house_toilet_right,@@,,,window_02,house_bed_right,,,,@@,house_toilet_right,@@,dirty_left_01
dirty_right_01,@@,@@,window_02,door_02_close,@@,@@,@@,@@,,,@@,@@,window_02,door_02_close,@@,@@,@@,@@,,,@@,@@,window_02,door_02_close,@@,@@,@@,@@,,,@@,@@,window_02,door_02_close,@@,@@,@@,@@,dirty_left_01
dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01
