,,,,,,,,,,,,,,,,,,,
,garden_grass_1,,,,garden_grass_3,,,,,,garden_grass_1,,,,,,misc_sign,misc_sign,
,,@,@,@,@,,,outside_metal_fence_1,,,,wall_01_broke,,,,,,,garden_grass_3
,,garden_tree_11,,,@,,,outside_metal_fence_1,,,,,,,outside_metal_fence_1,@,@,outside_metal_fence_1,garden_grass_3
,,garden_tree_11,,,@,,,outside_metal_fence_1,,wall_01_broke,,,@,garden_stone,,,,,
,misc_sign,,,garden_stone,@,,,outside_wooden_fence_1,,,,garden_grass_2,@,,,,,,
,misc_sign,,,,@,crate,garden_grass_3,outside_wooden_fence_1,,,@,@,@,wall_01_broke,,,,,
,,,,,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,,,@,crate,,,,,garden_grass_1,wall_01_part_right,@
,,garden_grass_1,,,,,garden_grass_3,,,,@,,,,,,,@,@
outside_wooden_fence_1,,,,garden_tree_11,outside_wooden_fence_1,garden_stone,,,,garden_grass_2,@,,,,,,garden_grass_2,@,wall_01_part_left_top
outside_wooden_fence_1,,,@,@,@,,,,@,@,@,@,@,@,garden_tree_11,garden_tree_11,,@,garden_stone
outside_wooden_fence_1,,,@,garden_grass_3,,,garden_grass_1,,,,garden_stone,,wall_01_part_right_top,@,,,,outside_metal_fence_1,
,,,@,,,,,,,,,,,@,garden_grass_2,,,outside_metal_fence_1,
,,,,,,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,outside_wooden_fence_1,,,garden_grass_1,,@,outside_metal_fence_1,,,outside_metal_fence_1,garden_grass_2
,garden_grass_1,,,,,,,,,,,,,,,,,,
